CPU Power (W), DRAM Power (W), Time (S)
46.36, 12.53, 0.021989, 
46.94, 12.81, 0.043538, 
45.88, 12.13, 0.066013, 
43.51, 12.46, 0.088754, 
45.13, 12.57, 0.111851, 
47.43, 12.90, 0.132798, 
44.29, 12.08, 0.154744, 
46.05, 12.78, 0.176586, 
46.13, 12.60, 0.198509, 
46.41, 12.62, 0.220425, 
44.62, 12.10, 0.242757, 
48.43, 12.79, 0.264232, 
44.51, 12.24, 0.286186, 
46.75, 12.42, 0.308120, 
47.85, 12.53, 0.330268, 
46.05, 12.55, 0.352272, 
45.63, 12.67, 0.374613, 
46.12, 12.15, 0.396203, 
45.78, 12.22, 0.418281, 
45.48, 12.17, 0.440650, 
47.92, 12.73, 0.462892, 
44.97, 12.19, 0.485038, 
45.58, 12.73, 0.507268, 
46.76, 12.13, 0.528487, 
45.88, 12.49, 0.550496, 
44.90, 12.58, 0.572601, 
46.25, 12.36, 0.594976, 
46.52, 12.51, 0.617098, 
46.26, 12.64, 0.638926, 
48.69, 12.64, 0.660228, 
44.22, 12.29, 0.682098, 
46.83, 12.04, 0.704186, 
47.89, 12.62, 0.726074, 
47.10, 12.73, 0.747755, 
46.22, 12.32, 0.769082, 
46.72, 12.57, 0.791013, 
45.40, 12.52, 0.813172, 
45.38, 12.06, 0.835564, 
49.14, 12.72, 0.857321, 
45.61, 12.50, 0.879621, 
45.52, 12.55, 0.900858, 
44.91, 12.02, 0.922799, 
45.62, 12.34, 0.945331, 
45.48, 12.91, 0.965709, 
49.36, 12.20, 0.987681, 
49.82, 12.53, 1.008324, 
46.01, 12.72, 1.029643, 
44.98, 12.06, 1.051545, 
45.54, 11.98, 1.074385, 
44.71, 12.23, 1.096929, 
45.25, 12.72, 1.118530, 
47.04, 12.46, 1.140104, 
45.15, 12.38, 1.161933, 
44.59, 12.41, 1.184243, 
45.26, 12.23, 1.207127, 
44.36, 12.52, 1.229722, 
46.35, 12.57, 1.251614, 
47.18, 12.57, 1.272843, 
43.28, 12.29, 1.294808, 
45.82, 12.60, 1.317323, 
45.10, 12.81, 1.339327, 
44.49, 11.71, 1.362189, 
44.43, 12.67, 1.384984, 
46.23, 12.71, 1.406646, 
46.35, 12.21, 1.427997, 
45.16, 12.53, 1.450046, 
46.16, 13.12, 1.471994, 
44.77, 12.04, 1.494842, 
43.90, 12.28, 1.517370, 
46.75, 12.70, 1.539018, 
47.56, 12.35, 1.560175, 
44.51, 12.54, 1.582189, 
44.92, 12.68, 1.604162, 
45.46, 11.95, 1.626979, 
44.15, 12.42, 1.649820, 
44.66, 12.07, 1.672787, 
46.28, 12.49, 1.694155, 
47.02, 12.82, 1.715629, 
44.63, 12.39, 1.737514, 
47.55, 12.17, 1.759020, 
50.69, 12.92, 1.779739, 
49.66, 12.16, 1.800371, 
49.70, 12.47, 1.820992, 
49.18, 12.30, 1.841956, 
46.90, 12.23, 1.863946, 
45.90, 12.30, 1.885388, 
46.29, 12.02, 1.907395, 
44.12, 11.83, 1.929409, 
44.89, 12.44, 1.952140, 
44.23, 12.39, 1.974976, 
48.05, 13.14, 1.996074, 
45.53, 12.32, 2.017551, 
45.06, 12.01, 2.039678, 
46.75, 11.63, 2.061397, 
45.70, 12.26, 2.083483, 
47.40, 12.59, 2.104850, 
44.50, 12.38, 2.126151, 
47.19, 12.20, 2.148095, 
45.32, 12.96, 2.170457, 
43.95, 12.62, 2.193276, 
45.04, 12.38, 2.216124, 
45.07, 12.15, 2.238919, 
45.27, 12.43, 2.260350, 
45.00, 12.38, 2.281728, 
44.92, 12.52, 2.303831, 
47.00, 12.93, 2.325265, 
45.98, 12.15, 2.347584, 
48.00, 12.53, 2.368776, 
45.38, 12.72, 2.390158, 
