CPU Power (W), DRAM Power (W), Time (S)
60.98, 12.48, 0.019951, 
55.92, 12.87, 0.040067, 
51.58, 12.21, 0.060402, 
53.63, 11.66, 0.080873, 
50.25, 12.73, 0.100949, 
54.83, 12.03, 0.120381, 
63.55, 13.05, 0.140085, 
124.81, 12.25, 0.159787, 
125.47, 12.36, 0.179540, 
118.97, 12.70, 0.199262, 
125.36, 12.62, 0.218976, 
122.50, 12.64, 0.238688, 
71.51, 13.03, 0.257868, 
63.89, 12.51, 0.277121, 
64.43, 12.56, 0.296286, 
61.07, 12.40, 0.315282, 
62.77, 12.45, 0.334507, 
62.43, 12.58, 0.353724, 
60.52, 12.48, 0.372912, 
60.60, 13.12, 0.392186, 
60.76, 12.47, 0.411425, 
58.16, 12.72, 0.431677, 
57.14, 13.13, 0.451483, 
59.05, 12.24, 0.472405, 
55.85, 13.04, 0.491612, 
62.29, 12.46, 0.510742, 
61.86, 12.49, 0.530354, 
56.87, 12.08, 0.550647, 
58.02, 12.37, 0.571000, 
54.42, 12.64, 0.590497, 
52.24, 12.59, 0.611008, 
56.51, 12.88, 0.631754, 
50.14, 12.67, 0.653244, 
59.20, 12.85, 0.673208, 
58.36, 13.35, 0.693230, 
57.63, 12.22, 0.713642, 
57.49, 13.10, 0.733604, 
60.30, 12.64, 0.753526, 
60.67, 13.09, 0.773434, 
60.57, 12.35, 0.793789, 
50.73, 12.46, 0.815205, 
51.49, 12.91, 0.836515, 
57.87, 12.70, 0.856724, 
54.99, 12.48, 0.877106, 
55.04, 13.15, 0.897551, 
53.93, 12.63, 0.917748, 
55.62, 12.01, 0.938084, 
56.22, 13.01, 0.958266, 
54.30, 12.41, 0.978937, 
55.75, 13.02, 0.999741, 
53.18, 12.46, 1.020143, 
56.99, 12.94, 1.040534, 
54.23, 13.02, 1.060210, 
57.17, 12.52, 1.079611, 
54.79, 12.24, 1.100341, 
55.85, 12.61, 1.120970, 
51.23, 12.65, 1.142457, 
56.55, 12.93, 1.162854, 
55.74, 13.29, 1.182691, 
67.71, 12.95, 1.201903, 
65.88, 12.08, 1.221167, 
52.62, 11.99, 1.241519, 
55.87, 12.65, 1.261811, 
56.75, 12.61, 1.282237, 
51.81, 12.60, 1.302842, 
53.66, 12.35, 1.323326, 
52.83, 12.39, 1.343707, 
56.47, 13.06, 1.363664, 
53.83, 12.13, 1.384310, 
57.83, 12.41, 1.404254, 
58.12, 12.94, 1.424519, 
54.95, 12.56, 1.444935, 
51.68, 12.57, 1.466172, 
51.93, 13.04, 1.485977, 
48.32, 12.62, 1.506496, 
52.91, 13.25, 1.527692, 
50.91, 12.30, 1.548733, 
52.64, 12.20, 1.568858, 
46.61, 12.60, 1.590012, 
55.28, 12.32, 1.609967, 
50.37, 12.33, 1.630753, 
54.81, 12.52, 1.651441, 
55.08, 12.70, 1.671970, 
57.09, 12.99, 1.692152, 
54.93, 12.56, 1.712361, 
54.59, 12.34, 1.732923, 
53.16, 12.84, 1.753155, 
57.96, 12.85, 1.773199, 
55.39, 12.10, 1.793731, 
52.22, 12.85, 1.814786, 
