CPU_Power(W),DRAM_Power(W),Time(S),
54.7,12.75,0.019537, 
57.08,12.61,0.039278, 
73.4,12.09,0.061257, 
113.79,13.13,0.081548, 
119.38,12.52,0.102033, 
121.53,12.8,0.122429, 
124.18,12.88,0.14288, 
103.15,13.04,0.162078, 
62.11,12.4,0.181775, 
59.84,13.08,0.201628, 
58.18,12.73,0.221975, 
57.18,12.73,0.242195, 
63.35,13.28,0.26204, 
65.17,12.88,0.280452, 
67.67,12.59,0.299308, 
63.87,12.81,0.318327, 
64.35,12.88,0.338685, 
59.65,13.3,0.358631, 
60.42,12.62,0.379042, 
55.52,12.93,0.399594, 
52.79,12.36,0.419411, 
57.52,13.01,0.43918, 
59,12.72,0.458825, 
57.6,12.58,0.478588, 
57.74,12.97,0.498283, 
58.59,12.81,0.51825, 
58.71,12.32,0.537966, 
57.07,12.7,0.557686, 
57.67,13.02,0.577435, 
59.19,12.81,0.597109, 
57.15,12.67,0.61688, 
57.5,12.57,0.636668, 
58.77,12.64,0.656475, 
58.42,12.26,0.676342, 
58.79,13.02,0.696096, 
62.85,12.98,0.715399, 
68.99,12.81,0.734625, 
64.95,12.67,0.754553, 
57.23,12.66,0.774376, 
57.59,13.02,0.794025, 
58.86,12.24,0.813843, 
57.41,13.03,0.833485, 
58.01,12.8,0.853011, 
58.53,12.28,0.872999, 
56.24,12.94,0.892959, 
57.8,12.91,0.912971, 
57.38,12.5,0.933007, 
55.99,12.74,0.953075, 
58.67,12.74,0.973108, 
56.15,12.72,0.993164, 
57.23,12.41,1.013234, 
57.25,12.72,1.033301, 
57.39,12.17,1.05337, 
58.82,12.52,1.073412, 
57.37,12.86,1.093448, 
57.22,12.54,1.113529, 
57.48,12.58,1.133597, 
57.15,12.7,1.153659, 
57.24,12.85,1.17371, 
57.35,12.46,1.193795, 
57.43,13.18,1.21398, 
56.75,14.05,1.234024, 
57.59,12.8,1.254065, 
57.57,12.74,1.274108, 
57.71,12.79,1.29407, 
57.57,12.79,1.314044, 
57.52,12.74,1.334079, 
56.36,12.69,1.354081, 
56.35,12.48,1.374436, 
55.8,12.51,1.394873, 
55.68,13.21,1.415276, 
59.23,13.64,1.435027, 
59.41,12.49,1.455056, 
58.82,12.84,1.47502, 
59.44,13.06,1.494704, 
57.47,12.9,1.514876, 
65.67,13.31,1.534033, 
67.01,12.53,1.553191, 
67.22,12.78,1.572393, 
67.14,12.79,1.591527, 
66.33,12.8,1.610752, 
66.51,12.47,1.629944, 
66.3,12.77,1.64914, 
68.56,13.06,1.668322, 
66.31,12.66,1.687551, 
67.93,12.75,1.70675, 
66.24,12.58,1.725918, 
66.24,12.73,1.745146, 
66.36,12.42,1.764357, 
66.25,12.82,1.783519, 
68.71,12.74,1.802568, 
65.32,13.22,1.821708, 
66.27,15.05,1.840898, 
65.74,14.55,1.860094, 
67.51,13.57,1.879259, 
65.9,12.98,1.898408, 
65.57,12.85,1.917597, 
66.18,13.14,1.936741, 
65.54,12.94,1.955983, 
65.27,13.27,1.975189, 
67.43,12.62,1.99434, 
65.5,13.2,2.013555, 
67.01,12.83,2.032813, 
65.08,12.76,2.052067, 
63.41,12.78,2.071308, 
60.2,13.04,2.090996, 
58.91,12.38,2.11075, 
61.69,13.04,2.13052, 
59.36,13.23,2.15027, 
59.26,12.34,2.170087, 
61.47,12.74,2.18986, 
61.29,13.01,2.209622, 
58.96,12.98,2.229559, 
59.29,12.52,2.249469, 
60.9,12.8,2.26937, 
60.71,12.24,2.28931, 
60.69,12.56,2.309246, 
60.61,12.81,2.329167, 
60.7,13.12,2.349126, 
59.12,12.42,2.369427, 
57.38,12.59,2.389735, 
58.94,12.87,2.41007, 
57.4,12.93,2.430523, 
59.26,12.66,2.450607, 
58.18,12.58,2.471002, 
58.58,12.99,2.491417, 
58.7,13.77,2.511499, 
56.4,14.51,2.532149, 
57.42,14.97,2.552568, 
56.39,13.82,2.572875, 
58.57,12.82,2.593499, 
57.26,12.77,2.614097, 
58.86,12.08,2.634982, 
57.71,12.58,2.654984, 
57.29,12.08,2.675617, 
56.76,12.72,2.696459, 
58.87,12.55,2.716592, 
58.22,12.88,2.737208, 
57.6,12.39,2.758065, 
55.64,12.77,2.778955, 
58.55,13.22,2.798974, 
57.13,12.59,2.819601, 
57.29,12.97,2.840162, 
58.87,12.72,2.860355, 
56.89,12.56,2.88099, 
59.18,12.48,2.901643, 
57.92,12.8,2.922294, 
57.41,12.94,2.942397, 
56.96,12.48,2.963312, 
57.95,12.61,2.984123, 
58.54,12.66,3.004163, 
56.73,14.34,3.024828, 
56.58,13.94,3.045475, 
59.26,13.62,3.065696, 
56.16,14.01,3.086471, 
57.38,14.16,3.107327, 
57.37,14.13,3.128257, 
56.58,15.06,3.148378, 
58.34,13.6,3.169024, 
56.61,12.65,3.189897, 
57.73,12.89,3.210765, 
57.75,12.28,3.230739, 
57.05,12.89,3.251609, 
57.69,12.32,3.272488, 
57.28,12.94,3.292623, 
57.09,12.57,3.313256, 
58.52,12.99,3.334166, 
57.28,12.52,3.355449, 
58.25,12.87,3.375427, 
56.78,12.75,3.396279, 
56.37,12.4,3.417594, 
56.8,12.69,3.438882, 
57.54,12.63,3.458888, 
56.49,12.86,3.47985, 
58.48,12.79,3.501033, 
57.88,12.85,3.521103, 
57.42,12.46,3.541993, 
57.66,13,3.563173, 
56.95,13.03,3.584166, 
59.41,12.38,3.604196, 
56.92,12.38,3.624822, 
58.57,12.66,3.64568, 
56.62,13,3.666547, 
56.84,13.05,3.68651, 
57.15,12.34,3.707365, 
57.65,12.69,3.72823, 
57.92,12.65,3.748283, 
58.11,12.82,3.768901, 
55.39,12.38,3.789771, 
57.53,12.86,3.810642, 
58.73,12.65,3.830588, 
56.81,12.51,3.851444, 
56.58,12.34,3.872326, 
58.9,12.33,3.892385, 
57.01,12.85,3.913013, 
56.65,12.94,3.933876, 
57.56,12.59,3.954737, 
57.64,12.62,3.974716, 
56.87,12.78,3.995563, 
57.29,12.55,4.016495, 
57.11,12.84,4.036637, 
56.72,12.46,4.05727, 
58.3,12.95,4.078132, 
57.71,12.51,4.099017, 
57.12,12.57,4.119054, 
56.9,12.53,4.139677, 
56.35,12.96,4.160531, 
58.13,12.58,4.180701, 
57.97,12.95,4.201315, 
57.39,12.39,4.222146, 
56.18,12.38,4.243017, 
58.25,13.23,4.263046, 
56.69,12.54,4.283743, 
57.2,12.57,4.304596, 
58.77,12.83,4.324748, 
56.53,12.77,4.34541, 
56.72,12.58,4.366487, 
57.39,12.37,4.387833, 
59.44,12.81,4.407892, 
56.67,12.52,4.428845, 
57.84,12.78,4.45017, 
56.39,12.67,4.47144, 
57.98,12.92,4.491357, 
57.55,12.71,4.512274, 
57.03,12.81,4.533502, 
57.75,12.72,4.553674, 
55.86,12.66,4.574553, 
57.46,13.09,4.595364, 
57.63,12.83,4.616272, 
57.17,12.88,4.636329, 
56.76,12.53,4.656957, 
58.66,12.61,4.677768, 
58.52,12.62,4.698641, 
57.72,12.9,4.718595, 
54.99,12.21,4.739454, 
57.56,12.85,4.760332, 
59.19,13.16,4.780424, 
56.61,12.2,4.801051, 
57.46,12.61,4.82172, 
56.95,12.76,4.842285, 
58.25,12.53,4.862394, 
58.21,12.54,4.883038, 
57.6,12.73,4.903627, 
56.89,12.7,4.923575, 
57.36,12.89,4.944193, 
56.92,12.77,4.964808, 
58.56,12.88,4.984988, 
58.09,12.79,5.005592, 
57.39,12.54,5.026451, 
55.74,13.56,5.047332, 
58.69,13.24,5.067264, 
57.1,12.5,5.087902, 
56.99,12.58,5.108771, 
58.68,12.57,5.128977, 
56.36,12.46,5.149614, 
57.15,13.03,5.170249, 
58.61,12.65,5.191133, 
57.88,12.66,5.21103, 
57.84,12.45,5.231635, 
57.24,12.87,5.252239, 
58.01,13.1,5.272349, 
56.37,13.42,5.293071, 
56.27,13.88,5.313889, 
54.39,13.71,5.335416, 
54.03,13.42,5.356284, 
53.87,14.24,5.376984, 
55.48,13.34,5.397813, 
53.19,13.33,5.41901, 
54.97,12.71,5.438827, 
58.25,12.57,5.459262, 
58.07,13.3,5.479692, 
57.36,12.75,5.499862, 
58.76,12.45,5.520269, 
57.92,12.97,5.54069, 
57.15,12.71,5.561028, 
58.38,11.99,5.581442, 
56.72,12.2,5.601865, 
57.3,13.06,5.622548, 
57.85,12.61,5.642655, 
57.92,12.59,5.663271, 
55.8,12.57,5.68386, 
58.23,12.66,5.70389, 
58.24,13.18,5.724496, 
57.71,12.37,5.745109, 
57.81,13.15,5.765294, 
56.53,12.46,5.785923, 
57.44,12.67,5.806481, 
56.81,12.69,5.827143, 
58.21,12.57,5.847111, 
58.28,12.77,5.867898, 
57.17,12.49,5.889002, 
58.28,13.02,5.909504, 
55.7,12.95,5.930583, 
57.41,12.46,5.951597, 
57.39,12.49,5.972658, 
58.84,12.83,5.992721, 
56.09,12.62,6.013638, 
56.86,12.38,6.034824, 
56.01,12.02,6.056008, 
57.52,12.97,6.076133, 
57.35,12.76,6.09685, 
57.56,12.85,6.117496, 
59.17,12.89,6.137651, 
56.04,12.46,6.158266, 
55.94,12.94,6.179195, 
57.33,12.58,6.200065, 
56.66,12.14,6.220342, 
61.08,12.77,6.240092, 
59.63,12.61,6.259711, 
62.24,12.78,6.280674, 
57.21,12.6,6.302167, 
57.31,12.48,6.323535, 
59.71,12.78,6.344089, 
57.64,12.46,6.364614, 
59.18,12.66,6.384943, 
56.95,12.82,6.405468, 
59.86,12.48,6.426066, 
57.82,13.17,6.446296, 
56.12,12.45,6.467198, 
60.07,12.94,6.487713, 
59.29,12.11,6.508188, 
57.34,12.77,6.52861, 
57.44,12.56,6.549636, 
59.96,12.67,6.570094, 
57.18,12.6,6.59027, 
56.71,12.46,6.611136, 
59.69,12.89,6.631869, 
59.67,12.68,6.652397, 
56.39,12.14,6.672704, 
57.27,12.98,6.693724, 
60.03,12.96,6.714151, 
58.02,12.48,6.734639, 
55.7,12.63,6.755397, 
58.18,12.32,6.776062, 
59.92,12.98,6.796586, 
57.79,12.09,6.816901, 
57.03,13.05,6.837419, 
58.91,12.53,6.858072, 
59.39,12.9,6.878293, 
55.94,12.74,6.899219, 
58.72,12.98,6.919858, 
60.06,12.45,6.940353, 
57.3,12.82,6.960665, 
56.28,12.08,6.981687, 
60.04,12.91,7.00214, 
58.6,12.35,7.022748, 
56.28,12.71,7.043353, 
59.03,12.14,7.063987, 
58.38,13,7.08449, 
55.21,12.65,7.105324, 
48.95,12.78,7.126659, 
48.7,12.6,7.147926, 
48.18,12.6,7.168699, 
48.99,12.45,7.189191, 
46.54,12.59,7.210396, 
48.18,12.66,7.232348, 
48.06,12.38,7.253054, 
48.66,12.65,7.2738, 
49.16,12.76,7.295313, 
46.72,12.47,7.316861, 
48.66,12.99,7.337286, 
49.71,12.89,7.357719, 
46.83,12.52,7.37897, 
48.72,13.2,7.400419, 
49.54,13.1,7.421297, 
48.52,12.07,7.441635, 
47.36,13.22,7.462852, 
47.44,12.59,7.484334, 
49.49,13.06,7.505241, 
47.53,12.76,7.525643, 
50.14,12.39,7.546789, 
47.33,12.96,7.568221, 
48.27,12.22,7.589125, 
48.48,13.03,7.609566, 
49.21,12.41,7.630746, 
48.22,12.58,7.652415, 
48.02,12.83,7.673141, 
47.93,12.51,7.693933, 
48.66,12.75,7.715461, 
47.29,12.84,7.736898, 
48.82,13.07,7.757301, 
49.37,12.47,7.777853, 
46.86,12.78,7.7994, 
49.2,12.52,7.82096, 
48.88,13.03,7.841435, 
48.45,12.83,7.862163, 
45.43,12.16,7.883548, 
48.62,12.67,7.904946, 
47.19,12.64,7.926032, 
47.11,12.96,7.94663, 
48.16,13.05,7.968079, 
49.29,12.46,7.989429, 
46.46,12.97,8.010526, 
49.27,13.27,8.030612, 
46.12,11.87,8.05198, 
48.27,12.66,8.073365, 
46.64,12.33,8.094419, 
47.66,13.4,8.114736, 
46.91,11.84,8.13637, 
47.56,13.02,8.157442, 
47.96,12.9,8.17832, 
47.66,12.43,8.198765, 
45.37,12.82,8.220613, 
48.71,13.1,8.241576, 
48.01,12.53,8.262572, 
45.56,12.57,8.283338, 
45.8,12.27,8.30452, 
47.11,12.83,8.325534, 
48.55,12.99,8.346789, 
48.18,12.66,8.368007, 
46.56,12.07,8.389066, 
46.13,12.67,8.410711, 
45.76,12.79,8.432176, 
48.22,12.93,8.45345, 
45.92,12.88,8.474584, 
46.71,12.9,8.496337, 
46.62,12.55,8.517975, 
45.21,12.7,8.539932, 
48.25,12.78,8.561315, 
46.96,13.5,8.582332, 
42.5,12.33,10.080876, 
77.02,17.3,10.1231, 
118.37,21.72,10.166223, 
122.62,25.01,10.197201, 
91.21,16.21,10.216868, 
81.94,14.34,10.235878, 
78.95,12.81,10.254862, 
70.41,12.84,10.274429, 
55.27,12.96,10.294014, 
58.65,12.64,10.313806, 
55.56,13.4,10.33403, 
56.41,12.22,10.35411, 
57.23,12.83,10.374097, 
57.03,13.65,10.39419, 
57.12,13.88,10.414179, 
57.79,12.88,10.433821, 
56.16,12.8,10.454139, 
56.25,12.89,10.474034, 
56.82,12.49,10.49442, 
53.65,11.97,10.515339, 
56.75,13.38,10.535546, 
56.79,12.87,10.556243, 
55.6,12.84,10.577755, 
54.94,13.32,10.599181, 
56.81,12.75,10.61936, 
56.1,13.27,10.639839, 
55.48,12.61,10.661596, 
57.06,14.07,10.683248, 
57.3,13.72,10.70333, 
55.73,13.3,10.723896, 
55.66,13.76,10.745708, 
56.98,13.29,10.767368, 
57.37,13.17,10.787495, 
55.48,14.62,10.808202, 
55.3,12.64,10.830073, 
56.02,12.1,10.851739, 
57.07,13.51,10.871699, 
55.97,12.36,10.892445, 
55.28,13.55,10.914281, 
56.75,12.9,10.935983, 
56.82,13.12,10.955967, 
54.72,12.39,10.97684, 
55.98,13.52,10.998537, 
57.99,12.84,11.020038, 
55.97,13.51,11.039725, 
57.58,13.4,11.060734, 
55.91,13.51,11.082344, 
55.42,13.89,11.103669, 
57.2,12.74,11.124002, 
