Disk Power (W), Time (S), 
19.951, 0.724120, 
20.544, 1.724097, 
18.946, 2.724134, 
19.117, 3.724105, 
19.726, 4.724138, 
21.057, 5.724159, 
19.897, 6.724174, 
19.900, 7.724192, 
18.024, 8.724223, 
20.029, 9.724218, 
20.677, 10.724238, 
19.974, 11.724239, 
19.723, 12.724233, 
19.155, 13.724214, 
18.569, 14.724306, 
20.390, 15.724280, 
19.281, 16.724313, 
19.304, 17.724335, 
19.284, 18.724356, 
20.213, 19.724348, 
19.903, 20.724372, 
18.762, 21.724379, 
20.116, 22.724366, 
19.929, 23.724383, 
19.094, 24.724408, 
17.883, 25.724415, 
19.980, 26.724406, 
20.219, 27.724463, 
19.317, 28.724459, 
18.804, 29.724509, 
19.220, 30.724465, 
19.536, 31.724507, 
17.145, 32.724484, 
20.280, 33.724487, 
20.403, 34.725502, 
19.748, 35.725549, 
18.295, 36.725648, 
19.990, 37.725559, 
19.787, 38.725573, 
19.329, 39.725632, 
19.059, 40.725554, 
17.689, 41.725663, 
20.129, 42.725598, 
20.825, 43.725666, 
19.897, 44.725701, 
19.555, 45.725686, 
18.836, 46.725691, 
19.278, 47.725676, 
20.164, 48.725722, 
18.214, 49.725716, 
19.861, 50.725737, 
19.239, 51.725750, 
19.987, 52.725731, 
17.119, 53.725753, 
19.961, 54.725784, 
19.442, 55.725793, 
19.014, 56.725799, 
19.114, 57.725821, 
19.977, 58.725886, 
19.639, 59.725851, 
19.242, 60.725908, 
18.559, 61.725962, 
18.640, 62.725910, 
20.428, 63.725963, 
20.309, 64.725863, 
19.803, 65.725906, 
19.797, 66.725917, 
19.017, 67.725912, 
19.375, 68.725980, 
20.013, 69.726989, 
19.152, 70.727002, 
18.772, 71.727028, 
20.264, 72.726964, 
19.320, 73.727065, 
20.183, 74.727070, 
19.555, 75.727169, 
19.413, 76.727029, 
19.810, 77.727119, 
19.114, 78.727092, 
20.728, 79.727113, 
20.125, 80.727070, 
19.787, 81.727200, 
19.217, 82.727124, 
18.530, 83.727205, 
19.951, 84.727112, 
19.265, 85.727134, 
19.990, 86.727189, 
17.557, 87.727204, 
19.961, 88.727174, 
19.046, 89.727221, 
19.346, 90.727163, 
19.980, 91.727216, 
17.132, 92.727251, 
19.043, 93.727250, 
20.129, 94.727274, 
20.196, 95.727278, 
19.990, 96.727267, 
18.086, 97.727287, 
18.749, 98.727369, 
19.603, 99.727332, 
19.761, 100.727420, 
19.603, 101.727351, 
19.226, 102.727358, 
19.101, 103.728358, 
19.852, 104.731713, 
20.390, 105.728412, 
20.670, 106.728435, 
18.795, 107.728430, 
17.528, 108.728431, 
20.022, 109.728427, 
18.891, 110.728755, 
20.490, 111.728545, 
20.055, 112.728484, 
17.132, 113.728550, 
20.109, 114.728526, 
20.557, 115.728479, 
19.281, 116.728540, 
19.951, 117.728543, 
17.338, 118.728602, 
19.578, 119.728631, 
20.847, 120.728611, 
20.077, 121.728576, 
19.197, 122.728568, 
19.062, 123.728657, 
19.903, 124.728623, 
20.512, 125.728702, 
19.475, 126.728654, 
19.023, 127.728601, 
19.852, 128.728664, 
19.716, 129.728639, 
19.230, 130.728724, 
20.019, 131.728734, 
18.617, 132.728774, 
19.781, 133.728744, 
19.829, 134.728739, 
20.038, 135.729359, 
19.062, 136.728741, 
19.172, 137.729865, 
19.732, 138.729865, 
20.660, 139.729849, 
19.226, 140.729813, 
20.084, 141.729841, 
17.773, 142.729866, 
19.439, 143.729909, 
20.116, 144.729927, 
19.297, 145.729964, 
19.143, 146.729864, 
18.717, 147.729905, 
19.101, 148.729952, 
19.020, 149.729927, 
19.610, 150.729955, 
21.057, 151.729977, 
18.650, 152.729954, 
19.397, 153.729972, 
20.193, 154.730012, 
19.233, 155.730040, 
19.832, 156.730068, 
17.360, 157.730030, 
20.103, 158.730124, 
19.542, 159.730044, 
20.319, 160.730169, 
18.688, 161.730065, 
20.013, 162.730105, 
18.885, 163.730114, 
20.706, 164.730125, 
19.381, 165.730117, 
18.920, 166.730154, 
19.068, 167.730157, 
19.300, 168.730221, 
18.843, 169.730202, 
20.242, 170.730242, 
18.936, 171.730194, 
17.309, 172.730210, 
20.332, 173.731227, 
19.990, 174.731229, 
19.897, 175.731263, 
20.638, 176.731290, 
20.209, 177.731268, 
17.093, 178.731288, 
20.412, 179.731311, 
19.413, 180.731327, 
19.210, 181.731338, 
19.974, 182.731401, 
19.249, 183.731341, 
19.726, 184.731362, 
18.946, 185.731375, 
20.438, 186.731390, 
19.442, 187.731377, 
18.998, 188.731452, 
19.803, 189.731428, 
18.804, 190.731431, 
19.603, 191.731442, 
20.100, 192.731473, 
19.491, 193.731452, 
19.001, 194.731495, 
20.148, 195.731552, 
20.309, 196.731510, 
19.423, 197.731520, 
19.085, 198.731549, 
19.616, 199.731559, 
18.975, 200.731636, 
19.555, 201.731579, 
20.499, 202.731576, 
20.193, 203.731593, 
17.470, 204.731596, 
19.813, 205.731645, 
20.457, 206.732641, 
19.184, 207.732662, 
19.848, 208.732628, 
17.406, 209.732676, 
19.346, 210.732654, 
19.678, 211.732672, 
19.716, 212.732724, 
19.774, 213.732733, 
18.833, 214.732688, 
18.569, 215.732738, 
19.913, 216.732744, 
19.452, 217.732767, 
19.094, 218.732745, 
19.094, 219.732802, 
19.732, 220.732827, 
19.123, 221.732800, 
19.252, 222.732831, 
20.271, 223.732852, 
19.874, 224.732879, 
18.492, 225.732924, 
20.006, 226.732951, 
20.364, 227.732889, 
19.523, 228.732892, 
20.022, 229.732919, 
19.123, 230.732957, 
18.843, 231.732930, 
18.930, 232.733015, 
19.375, 233.732953, 
20.512, 234.733005, 
18.608, 235.733010, 
17.215, 236.733033, 
20.067, 237.733090, 
19.197, 238.733025, 
19.958, 239.733024, 
18.798, 240.734049, 
17.222, 241.734137, 
20.116, 242.734106, 
19.062, 243.734106, 
19.578, 244.734122, 
20.138, 245.734117, 
19.030, 246.734121, 
19.429, 247.734132, 
19.275, 248.734247, 
19.958, 249.734204, 
19.797, 250.734174, 
18.943, 251.734258, 
19.578, 252.734192, 
19.997, 253.734211, 
19.233, 254.734238, 
20.506, 255.734231, 
20.225, 256.734273, 
17.141, 257.734228, 
20.435, 258.734265, 
18.875, 259.734298, 
19.655, 260.734309, 
19.204, 261.734354, 
19.765, 262.734334, 
19.310, 263.734349, 
20.754, 264.734310, 
18.920, 265.734982, 
19.017, 266.734407, 
18.907, 267.734399, 
20.029, 268.734427, 
19.226, 269.734454, 
20.100, 270.734416, 
17.573, 271.734431, 
19.990, 272.734426, 
19.381, 273.734452, 
20.019, 274.735539, 
18.956, 275.735502, 
19.052, 276.735491, 
19.964, 277.735507, 
18.662, 278.735527, 
20.538, 279.735573, 
20.232, 280.735544, 
19.513, 281.735600, 
18.730, 282.735652, 
19.980, 283.735553, 
19.265, 284.735620, 
19.790, 285.735627, 
17.383, 286.735645, 
19.813, 287.735645, 
19.671, 288.735684, 
19.484, 289.735652, 
19.081, 290.735860, 
19.110, 291.735758, 
19.101, 292.735772, 
19.362, 293.735804, 
19.765, 294.735785, 
19.242, 295.735705, 
18.611, 296.736204, 
19.207, 297.735814, 
19.507, 298.735883, 
19.465, 299.735881, 
20.467, 300.735815, 
19.426, 301.735806, 
20.084, 302.736155, 
18.737, 303.735922, 
20.280, 304.735881, 
