Disk Power (W), Time (S), 
19.449, 0.402114, 
19.752, 1.402119, 
20.258, 2.402150, 
18.224, 3.402168, 
19.397, 4.402143, 
19.136, 5.402145, 
20.087, 6.402146, 
18.517, 7.402170, 
20.319, 8.402245, 
19.903, 9.402235, 
19.104, 10.402216, 
20.200, 11.402293, 
20.847, 12.402233, 
17.915, 13.402310, 
19.713, 14.402270, 
19.046, 15.402244, 
19.903, 16.402289, 
19.181, 17.402265, 
19.465, 18.402362, 
19.342, 19.403357, 
20.625, 20.403337, 
19.068, 21.403322, 
19.413, 22.403386, 
19.452, 23.403355, 
18.914, 24.403494, 
19.951, 25.403432, 
20.235, 26.403478, 
19.191, 27.403438, 
19.562, 28.403457, 
18.305, 29.403450, 
20.100, 30.403451, 
19.681, 31.403466, 
18.666, 32.403438, 
19.101, 33.403464, 
19.162, 34.403460, 
20.077, 35.403515, 
19.858, 36.403531, 
19.674, 37.403503, 
19.929, 38.403577, 
17.767, 39.403553, 
20.022, 40.403618, 
17.431, 41.403587, 
19.107, 42.403627, 
19.130, 43.403611, 
20.006, 44.403612, 
20.622, 45.403634, 
18.959, 46.403652, 
19.980, 47.403753, 
19.516, 48.403683, 
20.206, 49.403691, 
20.167, 50.403707, 
19.097, 51.403716, 
19.719, 52.404716, 
20.045, 53.404721, 
17.699, 54.404744, 
20.567, 55.404770, 
18.656, 56.404768, 
19.117, 57.404884, 
20.216, 58.404785, 
18.882, 59.404797, 
19.810, 60.404818, 
19.155, 61.404819, 
19.922, 62.404864, 
19.014, 63.404840, 
18.782, 64.404869, 
18.562, 65.404880, 
19.339, 66.404854, 
18.208, 67.404937, 
20.863, 68.404942, 
19.320, 69.404937, 
18.656, 70.404935, 
20.016, 71.404954, 
17.534, 72.405003, 
20.254, 73.404988, 
19.881, 74.404979, 
19.249, 75.405098, 
19.858, 76.405012, 
20.203, 77.405031, 
18.833, 78.405042, 
18.756, 79.405046, 
18.907, 80.405067, 
18.775, 81.405088, 
20.225, 82.405088, 
19.929, 83.405105, 
20.419, 84.405189, 
19.307, 85.405112, 
19.152, 86.406203, 
19.968, 87.406148, 
20.100, 88.406161, 
18.865, 89.406216, 
19.832, 90.406170, 
19.990, 91.406205, 
18.756, 92.406217, 
20.177, 93.406228, 
19.781, 94.406242, 
20.606, 95.406258, 
19.935, 96.406259, 
20.544, 97.406378, 
20.022, 98.406337, 
19.184, 99.406313, 
19.997, 100.406353, 
19.613, 101.406400, 
19.027, 102.406331, 
18.053, 103.406341, 
19.429, 104.406342, 
19.271, 105.406376, 
20.193, 106.406366, 
18.695, 107.406432, 
18.885, 108.406411, 
19.897, 109.408267, 
18.882, 110.406444, 
19.407, 111.406451, 
17.634, 112.406571, 
19.710, 113.406456, 
18.862, 114.406566, 
19.955, 115.406502, 
19.504, 116.406509, 
20.022, 117.406535, 
18.698, 118.406535, 
20.077, 119.406546, 
19.420, 120.406533, 
18.811, 121.407580, 
20.329, 122.407564, 
18.108, 123.407703, 
19.355, 124.407610, 
19.781, 125.407643, 
18.872, 126.407652, 
18.611, 127.407675, 
19.297, 128.407661, 
20.274, 129.407657, 
19.271, 130.407682, 
19.897, 131.407676, 
18.843, 132.407703, 
20.116, 133.407726, 
19.046, 134.407742, 
19.114, 135.407816, 
18.044, 136.407802, 
19.684, 137.407896, 
18.872, 138.407787, 
19.458, 139.407775, 
19.913, 140.407803, 
21.005, 141.407847, 
19.291, 142.407812, 
18.962, 143.407848, 
19.874, 144.407861, 
19.942, 145.407863, 
18.772, 146.407898, 
20.006, 147.407923, 
19.719, 148.407966, 
19.333, 149.407919, 
20.490, 150.407957, 
18.711, 151.407941, 
18.936, 152.408084, 
18.414, 153.407947, 
20.154, 154.407980, 
19.542, 155.408991, 
20.038, 156.409005, 
19.726, 157.409017, 
20.122, 158.409027, 
19.832, 159.409051, 
19.977, 160.409055, 
18.804, 161.409077, 
20.380, 162.409076, 
18.733, 163.409134, 
19.707, 164.409104, 
20.293, 165.409109, 
18.443, 166.409129, 
19.326, 167.409140, 
18.588, 168.409167, 
20.061, 169.409133, 
19.787, 170.409160, 
19.939, 171.409204, 
19.794, 172.409209, 
20.419, 173.409213, 
20.032, 174.409229, 
19.336, 175.409238, 
20.013, 176.409252, 
18.994, 177.409262, 
19.903, 178.409286, 
20.090, 179.409291, 
19.136, 180.409304, 
18.546, 181.409291, 
19.155, 182.409330, 
18.179, 183.409339, 
19.491, 184.409448, 
19.300, 185.409415, 
20.438, 186.409462, 
19.929, 187.409460, 
18.914, 188.409400, 
19.864, 189.410442, 
19.765, 190.411191, 
18.650, 191.410437, 
18.679, 192.410446, 
20.242, 193.410462, 
19.233, 194.410477, 
19.278, 195.410498, 
19.449, 196.410567, 
19.516, 197.410559, 
18.466, 198.410525, 
20.374, 199.410538, 
19.968, 200.410545, 
19.494, 201.410562, 
18.746, 202.410566, 
18.643, 203.410566, 
18.936, 204.410595, 
18.024, 205.410615, 
19.407, 206.410625, 
19.765, 207.410746, 
20.412, 208.410651, 
19.504, 209.410758, 
19.800, 210.410660, 
18.833, 211.410800, 
19.874, 212.410797, 
20.390, 213.410704, 
19.481, 214.410804, 
19.951, 215.410832, 
18.327, 216.410728, 
20.154, 217.410746, 
17.509, 218.410766, 
19.578, 219.410789, 
19.864, 220.410772, 
20.029, 221.410828, 
18.920, 222.410834, 
20.554, 223.411862, 
18.717, 224.411842, 
20.467, 225.411859, 
18.994, 226.411870, 
18.801, 227.411889, 
20.200, 228.411921, 
19.033, 229.411941, 
19.993, 230.411922, 
19.220, 231.411913, 
18.630, 232.411940, 
18.833, 233.411959, 
20.486, 234.411980, 
18.234, 235.411988, 
19.027, 236.412058, 
19.397, 237.412003, 
19.043, 238.412003, 
19.155, 239.412028, 
19.123, 240.412107, 
19.101, 241.412041, 
18.956, 242.412052, 
18.969, 243.412076, 
19.336, 244.412097, 
19.310, 245.412098, 
19.052, 246.412113, 
17.409, 247.412162, 
19.574, 248.412163, 
19.162, 249.412154, 
20.225, 250.412181, 
19.784, 251.412175, 
20.599, 252.412185, 
20.229, 253.412336, 
