Disk Power (W), Time (S), 
19.655, 0.749139, 
18.595, 1.749169, 
19.958, 2.749190, 
19.462, 3.749236, 
19.049, 4.749211, 
20.928, 5.749282, 
19.655, 6.749281, 
18.537, 7.749263, 
19.922, 8.749332, 
19.184, 10.110926, 
19.922, 10.749356, 
18.981, 11.749336, 
20.264, 12.749332, 
20.467, 13.749352, 
19.394, 14.749383, 
17.860, 15.749294, 
20.171, 16.749352, 
19.697, 17.749373, 
19.139, 18.749403, 
17.563, 19.750403, 
20.077, 20.750479, 
19.404, 21.750430, 
20.322, 22.750447, 
19.259, 23.750488, 
19.974, 24.750489, 
20.267, 25.750463, 
18.988, 26.750512, 
20.061, 27.750467, 
20.399, 28.750545, 
20.245, 29.750498, 
19.326, 30.750556, 
18.862, 31.750547, 
20.180, 32.750541, 
19.800, 33.750592, 
19.143, 34.750543, 
18.762, 35.750582, 
20.409, 36.750587, 
19.922, 37.750611, 
19.220, 38.750595, 
19.626, 39.750623, 
18.936, 40.750632, 
20.219, 41.750697, 
18.762, 42.750665, 
20.361, 43.750757, 
20.374, 44.750681, 
20.374, 45.750759, 
18.807, 46.750719, 
18.463, 47.750805, 
20.570, 48.750720, 
18.772, 49.750759, 
20.493, 50.750799, 
19.407, 51.750789, 
19.265, 52.750799, 
20.274, 53.751807, 
19.197, 54.751806, 
19.823, 55.751899, 
19.371, 56.751829, 
18.733, 57.751855, 
20.300, 58.751865, 
19.188, 59.751906, 
19.964, 60.751887, 
18.446, 61.751952, 
19.610, 62.751912, 
17.886, 63.751943, 
19.555, 64.751963, 
18.853, 65.751954, 
20.283, 66.751957, 
20.038, 67.751998, 
20.667, 68.751986, 
18.701, 69.752076, 
19.397, 70.752017, 
19.565, 71.752014, 
19.584, 72.752046, 
20.096, 73.752117, 
19.268, 74.752063, 
19.800, 75.752117, 
20.009, 76.752110, 
20.638, 77.752130, 
19.139, 78.752113, 
19.346, 79.752135, 
20.290, 80.752117, 
19.381, 81.752184, 
19.007, 82.752205, 
19.388, 83.752181, 
19.091, 84.752189, 
20.499, 85.752259, 
20.219, 86.752211, 
20.319, 87.752255, 
19.958, 88.753253, 
18.753, 89.753297, 
18.688, 90.753326, 
19.642, 91.753320, 
19.652, 92.753359, 
20.625, 93.753297, 
20.022, 94.753337, 
20.564, 95.753281, 
20.093, 96.753397, 
18.495, 97.753427, 
18.894, 98.753440, 
20.593, 99.753431, 
20.345, 100.753415, 
20.200, 101.753373, 
17.873, 102.753402, 
19.945, 103.753449, 
19.945, 104.753484, 
19.223, 105.753450, 
19.713, 106.753491, 
18.911, 107.753564, 
20.480, 108.753523, 
20.229, 109.753544, 
20.229, 110.753508, 
20.515, 111.753551, 
19.391, 112.753536, 
19.890, 113.753533, 
19.533, 114.753631, 
17.731, 115.753548, 
20.773, 116.753624, 
19.620, 117.753706, 
20.006, 118.753729, 
19.072, 119.753659, 
20.432, 120.753671, 
18.653, 121.753607, 
20.912, 122.753651, 
19.468, 123.754660, 
20.235, 124.754767, 
20.670, 125.754725, 
19.384, 126.754746, 
19.826, 127.754715, 
18.885, 128.754711, 
20.180, 129.754748, 
19.781, 130.754774, 
19.352, 131.754791, 
18.475, 132.754775, 
19.400, 133.754838, 
20.119, 134.754797, 
20.229, 135.754795, 
18.727, 136.754847, 
20.016, 137.754814, 
19.078, 138.754897, 
19.346, 139.754870, 
18.343, 140.754917, 
19.881, 141.754947, 
19.874, 142.754908, 
20.538, 143.754945, 
19.777, 144.754926, 
19.475, 145.755027, 
20.180, 146.754946, 
19.404, 147.755021, 
19.284, 148.754997, 
20.122, 149.754990, 
18.305, 150.754999, 
20.538, 151.755018, 
19.271, 152.755029, 
20.251, 153.755043, 
19.529, 154.755063, 
19.378, 155.755069, 
18.234, 156.756077, 
20.280, 157.756114, 
18.417, 158.756132, 
20.383, 159.756118, 
20.445, 160.756150, 
19.736, 161.756210, 
19.236, 162.756131, 
19.533, 163.756168, 
20.251, 164.756186, 
20.200, 165.756208, 
19.349, 166.756399, 
18.624, 167.756215, 
20.361, 168.756269, 
20.196, 169.756237, 
19.971, 170.756254, 
20.196, 171.756260, 
20.016, 172.756283, 
19.736, 173.756299, 
19.855, 174.756294, 
20.071, 175.756390, 
19.384, 176.756327, 
19.471, 177.756304, 
19.004, 178.756405, 
20.135, 179.756363, 
20.200, 180.756411, 
19.823, 181.756404, 
19.613, 182.756454, 
19.661, 183.756506, 
18.894, 184.756428, 
18.782, 185.756411, 
18.582, 186.756454, 
19.955, 187.756442, 
20.087, 188.756492, 
18.856, 189.756481, 
19.188, 190.756501, 
19.462, 191.757504, 
18.907, 192.757519, 
19.449, 193.757531, 
19.391, 194.757547, 
20.448, 195.757556, 
19.478, 196.757646, 
19.291, 197.757590, 
19.591, 198.757617, 
18.237, 199.757612, 
20.251, 200.757659, 
19.591, 201.757669, 
18.949, 202.757608, 
18.791, 203.757659, 
20.351, 204.757636, 
20.438, 205.757704, 
20.119, 206.757658, 
20.016, 207.757687, 
19.204, 208.757682, 
18.688, 209.757701, 
18.930, 210.757802, 
19.420, 211.757730, 
19.242, 212.757747, 
19.404, 213.757776, 
17.035, 214.757788, 
19.271, 215.757813, 
17.918, 216.757809, 
19.587, 217.757831, 
20.351, 218.757880, 
20.615, 219.757824, 
17.941, 220.757847, 
19.877, 221.757863, 
19.597, 222.757888, 
20.319, 223.757913, 
20.283, 224.757884, 
20.509, 225.758953, 
17.518, 226.758962, 
19.829, 227.759052, 
19.281, 228.758967, 
20.635, 229.759038, 
18.959, 230.759040, 
19.932, 231.759033, 
16.590, 232.759039, 
19.549, 233.759074, 
19.230, 234.759084, 
16.848, 235.759073, 
19.381, 236.759277, 
18.875, 237.759071, 
20.393, 238.759070, 
19.626, 239.759131, 
19.252, 240.759104, 
18.766, 241.759100, 
19.739, 242.759155, 
19.101, 243.759147, 
19.439, 244.759168, 
20.296, 245.759184, 
20.029, 246.759190, 
20.341, 247.759197, 
19.774, 248.759210, 
20.625, 249.759269, 
19.800, 250.759250, 
19.810, 251.759283, 
18.830, 252.759329, 
19.252, 253.759319, 
20.345, 254.759308, 
20.138, 255.759319, 
19.674, 256.759316, 
20.196, 257.759314, 
18.946, 258.759336, 
19.465, 259.760361, 
20.370, 260.760376, 
19.542, 261.760389, 
19.165, 262.760446, 
20.515, 263.760399, 
20.042, 264.760425, 
20.077, 265.760415, 
19.442, 266.760460, 
19.552, 267.760437, 
19.394, 268.760482, 
17.551, 269.760503, 
19.507, 270.760671, 
20.783, 271.760529, 
17.360, 272.760538, 
19.900, 273.760536, 
19.313, 274.760531, 
20.345, 275.760666, 
19.603, 276.760550, 
19.381, 277.760574, 
19.300, 278.760561, 
19.790, 279.760644, 
19.065, 280.760609, 
20.522, 281.760626, 
19.504, 282.760650, 
20.702, 283.760673, 
18.869, 284.760651, 
16.948, 285.760677, 
19.939, 286.760749, 
18.611, 287.760699, 
20.354, 288.760738, 
19.307, 289.760714, 
19.964, 290.760731, 
20.477, 291.760758, 
18.682, 292.760742, 
18.862, 293.761776, 
18.985, 294.761808, 
20.406, 295.761763, 
17.702, 296.761794, 
20.074, 297.761840, 
19.581, 298.761806, 
20.287, 299.761844, 
18.965, 300.761892, 
20.445, 301.761888, 
20.841, 302.761938, 
18.492, 303.761952, 
19.623, 304.761907, 
18.917, 305.761912, 
20.064, 306.761957, 
20.016, 307.761967, 
18.160, 308.761963, 
19.230, 309.762035, 
19.884, 310.761991, 
20.174, 311.762025, 
20.093, 312.762037, 
21.195, 313.762013, 
18.601, 314.762018, 
20.329, 315.762055, 
19.545, 316.762090, 
19.388, 317.762059, 
19.658, 318.762074, 
20.625, 319.762071, 
19.001, 320.762133, 
19.242, 321.762174, 
18.801, 322.762122, 
19.829, 323.762135, 
20.467, 324.762164, 
19.252, 325.762162, 
20.254, 326.762187, 
19.143, 327.762180, 
19.310, 328.763197, 
19.587, 329.763220, 
19.607, 330.763228, 
19.300, 331.763250, 
18.981, 332.763246, 
20.461, 333.763242, 
20.383, 334.763286, 
20.303, 335.763319, 
17.228, 336.763304, 
20.312, 337.763327, 
19.980, 338.763314, 
19.665, 339.763384, 
19.072, 340.763334, 
19.774, 341.763379, 
18.849, 342.763354, 
20.019, 343.763371, 
19.768, 344.763477, 
19.104, 345.763436, 
20.196, 346.763416, 
19.684, 347.763536, 
19.520, 348.763526, 
18.653, 349.763551, 
19.858, 350.763469, 
20.000, 351.763494, 
18.936, 352.763490, 
20.680, 353.763518, 
20.171, 354.763593, 
19.352, 355.763536, 
20.622, 356.763574, 
16.780, 357.763951, 
19.252, 358.763585, 
20.522, 359.763604, 
19.987, 360.763595, 
21.176, 361.763602, 
20.625, 362.764617, 
19.126, 363.764638, 
21.263, 364.764776, 
16.668, 365.764731, 
19.491, 366.764673, 
19.752, 367.764708, 
19.568, 368.764735, 
19.581, 369.764717, 
18.708, 370.764737, 
20.142, 371.764758, 
19.036, 372.764759, 
19.449, 373.764731, 
19.993, 374.764771, 
19.007, 375.764768, 
18.994, 376.764769, 
20.119, 377.764814, 
19.607, 378.764834, 
20.283, 379.764880, 
19.516, 380.764847, 
18.907, 381.764832, 
20.686, 382.764899, 
18.994, 383.764910, 
20.087, 384.764909, 
18.791, 385.764916, 
20.042, 386.764917, 
19.072, 387.764922, 
19.797, 388.764934, 
19.017, 389.764949, 
19.581, 390.764991, 
20.116, 391.765017, 
18.869, 392.765008, 
18.969, 393.764992, 
18.743, 394.765023, 
19.487, 395.765024, 
20.712, 396.766071, 
19.294, 397.766038, 
19.903, 398.766114, 
20.306, 399.766085, 
18.791, 400.766083, 
20.525, 401.766159, 
18.682, 402.766120, 
20.361, 403.766132, 
18.933, 404.766153, 
18.830, 405.766174, 
20.422, 406.766155, 
18.453, 407.766198, 
18.862, 408.766181, 
16.954, 409.766232, 
19.723, 410.766205, 
20.190, 411.766219, 
20.203, 412.766207, 
19.307, 413.766317, 
19.868, 414.766259, 
20.003, 415.766278, 
18.894, 416.766286, 
19.255, 417.766297, 
19.439, 418.766334, 
19.442, 419.766302, 
19.610, 420.766300, 
19.900, 421.766339, 
19.410, 422.766362, 
20.109, 423.766382, 
19.539, 424.766394, 
19.529, 425.766391, 
18.659, 426.766445, 
18.698, 427.766421, 
18.691, 428.766500, 
20.229, 429.766417, 
19.520, 430.767512, 
20.003, 431.767468, 
19.085, 432.767556, 
20.921, 433.767490, 
19.239, 434.767511, 
19.626, 435.767547, 
17.557, 436.767541, 
19.487, 437.767539, 
19.184, 438.767568, 
20.860, 439.767602, 
19.781, 440.767599, 
19.468, 441.767580, 
19.197, 442.767611, 
18.962, 443.767607, 
19.884, 444.767664, 
19.313, 445.767694, 
19.329, 446.767644, 
19.259, 447.767704, 
19.094, 448.767704, 
20.016, 449.767718, 
19.143, 450.767729, 
19.523, 451.767825, 
17.828, 452.767783, 
19.842, 453.767769, 
19.632, 454.767776, 
20.209, 455.767874, 
19.910, 456.767830, 
20.180, 457.767784, 
18.972, 458.767816, 
20.251, 459.767848, 
19.823, 460.767809, 
20.354, 461.767838, 
18.785, 462.767850, 
19.043, 463.767865, 
20.180, 464.767906, 
19.326, 465.768950, 
19.916, 466.768990, 
19.636, 467.768983, 
19.094, 468.768923, 
20.048, 469.768961, 
19.007, 470.769043, 
19.220, 471.768938, 
19.252, 472.768980, 
20.554, 473.768986, 
19.110, 474.769061, 
18.830, 475.769011, 
19.384, 476.769057, 
20.000, 477.769012, 
20.554, 478.769074, 
19.023, 479.769059, 
19.159, 480.769053, 
20.428, 481.769103, 
18.969, 482.769099, 
20.609, 483.769157, 
20.345, 484.769149, 
19.223, 485.769139, 
18.862, 486.769174, 
17.573, 487.769193, 
19.726, 488.769179, 
19.565, 489.769284, 
19.671, 490.769282, 
19.697, 491.769257, 
20.190, 492.769300, 
19.939, 493.769248, 
20.125, 494.769248, 
18.711, 495.769291, 
19.600, 496.769286, 
17.902, 497.769287, 
19.065, 498.769329, 
20.377, 499.770377, 
19.404, 500.770391, 
19.964, 501.770365, 
20.602, 502.770402, 
18.566, 503.770375, 
20.312, 504.770397, 
19.581, 505.770353, 
20.367, 506.770415, 
19.275, 507.770412, 
19.155, 508.770451, 
20.477, 509.770427, 
18.820, 510.770515, 
19.816, 511.770458, 
19.906, 512.770467, 
18.282, 513.770550, 
20.164, 514.770489, 
18.475, 515.770619, 
19.881, 516.770570, 
19.165, 517.770571, 
19.362, 518.770586, 
20.071, 519.770600, 
19.568, 520.770624, 
20.206, 521.770583, 
19.346, 522.770603, 
19.384, 523.770599, 
19.516, 524.770643, 
