GPU Power (W), Time (S), 
20, 0.015757, 
20, 0.031581, 
20, 0.047444, 
20, 0.063284, 
20, 0.079112, 
20, 0.094957, 
20, 0.110798, 
20, 0.126646, 
20, 0.142429, 
20, 0.158534, 
20, 0.174419, 
20, 0.190227, 
20, 0.206082, 
20, 0.221918, 
20, 0.237715, 
20, 0.253525, 
20, 0.269334, 
20, 0.285138, 
20, 0.300937, 
20, 0.317213, 
20, 0.333009, 
20, 0.348808, 
20, 0.364952, 
20, 0.380753, 
20, 0.396557, 
20, 0.412336, 
20, 0.428120, 
20, 0.443935, 
20, 0.459752, 
20, 0.475547, 
20, 0.491380, 
20, 0.507199, 
20, 0.522960, 
20, 0.538721, 
20, 0.554483, 
20, 0.570366, 
20, 0.586153, 
20, 0.602007, 
20, 0.617788, 
20, 0.633616, 
20, 0.649439, 
20, 0.665280, 
20, 0.681111, 
20, 0.696951, 
20, 0.712791, 
20, 0.728620, 
20, 0.744460, 
20, 0.760537, 
20, 0.776308, 
20, 0.792112, 
20, 0.807871, 
20, 0.823727, 
20, 0.839615, 
20, 0.855385, 
20, 0.871187, 
20, 0.887024, 
20, 0.902923, 
20, 0.918752, 
20, 0.934626, 
20, 0.950489, 
20, 0.966506, 
20, 0.982313, 
20, 0.998173, 
20, 1.014469, 
20, 1.030309, 
20, 1.046113, 
20, 1.061912, 
20, 1.077699, 
20, 1.093515, 
20, 1.109318, 
20, 1.125138, 
20, 1.140966, 
20, 1.156728, 
20, 1.172835, 
20, 1.188640, 
20, 1.204426, 
20, 1.220239, 
20, 1.236067, 
20, 1.251887, 
20, 1.267706, 
20, 1.283530, 
20, 1.301489, 
20, 1.317281, 
20, 1.333060, 
20, 1.348874, 
20, 1.364690, 
20, 1.380521, 
20, 1.396593, 
20, 1.412385, 
20, 1.428176, 
20, 1.443944, 
20, 1.459798, 
20, 1.475614, 
20, 1.491436, 
20, 1.507253, 
20, 1.523064, 
20, 1.538844, 
20, 1.554615, 
20, 1.570823, 
20, 1.586623, 
20, 1.602408, 
20, 1.618186, 
20, 1.634074, 
20, 1.649908, 
20, 1.665707, 
20, 1.681525, 
20, 1.697352, 
20, 1.713171, 
20, 1.728896, 
20, 1.744655, 
20, 1.760909, 
20, 1.776721, 
20, 1.792437, 
20, 1.808174, 
20, 1.823896, 
20, 1.839604, 
20, 1.855313, 
20, 1.871091, 
20, 1.886861, 
20, 1.902604, 
20, 1.918428, 
20, 1.934299, 
20, 1.950155, 
20, 1.966422, 
20, 1.982200, 
20, 1.997989, 
20, 2.013997, 
20, 2.029755, 
20, 2.045514, 
20, 2.061309, 
20, 2.077093, 
20, 2.092847, 
20, 2.108619, 
20, 2.124377, 
20, 2.140151, 
20, 2.156018, 
20, 2.172272, 
20, 2.188068, 
20, 2.203888, 
20, 2.219706, 
20, 2.235525, 
20, 2.251346, 
20, 2.267133, 
20, 2.282906, 
20, 2.298653, 
20, 2.316312, 
20, 2.332193, 
20, 2.348078, 
20, 2.364082, 
20, 2.379915, 
20, 2.395783, 
20, 2.411640, 
20, 2.427465, 
20, 2.443310, 
20, 2.459121, 
20, 2.475000, 
20, 2.490864, 
20, 2.506734, 
20, 2.522606, 
20, 2.538363, 
20, 2.554117, 
20, 2.570108, 
20, 2.585975, 
20, 2.601810, 
20, 2.617806, 
20, 2.633644, 
20, 2.649480, 
20, 2.665332, 
20, 2.681152, 
20, 2.697003, 
20, 2.712807, 
20, 2.728657, 
20, 2.744512, 
20, 2.760705, 
20, 2.776511, 
20, 2.792321, 
20, 2.808152, 
20, 2.823861, 
20, 2.839754, 
20, 2.855662, 
20, 2.871481, 
20, 2.887380, 
20, 2.903225, 
20, 2.919072, 
20, 2.934961, 
20, 2.950755, 
20, 2.966953, 
20, 2.982723, 
20, 2.998628, 
20, 3.014443, 
20, 3.030754, 
20, 3.046568, 
20, 3.062387, 
20, 3.078192, 
20, 3.094019, 
20, 3.109828, 
20, 3.125690, 
20, 3.141535, 
20, 3.157341, 
20, 3.173387, 
20, 3.189224, 
20, 3.205062, 
20, 3.220945, 
20, 3.236828, 
20, 3.252632, 
20, 3.268467, 
20, 3.284377, 
20, 3.300253, 
20, 3.317936, 
20, 3.333722, 
20, 3.349572, 
20, 3.365387, 
20, 3.381138, 
20, 3.396961, 
20, 3.412798, 
20, 3.428638, 
20, 3.444366, 
20, 3.460121, 
20, 3.475976, 
20, 3.491805, 
20, 3.507665, 
20, 3.523406, 
20, 3.539135, 
20, 3.554890, 
20, 3.570851, 
20, 3.586658, 
20, 3.602439, 
20, 3.618229, 
20, 3.633983, 
20, 3.649714, 
20, 3.665436, 
20, 3.681152, 
20, 3.697024, 
20, 3.712864, 
20, 3.728767, 
20, 3.744531, 
20, 3.760701, 
20, 3.776506, 
20, 3.792314, 
20, 3.808126, 
20, 3.823971, 
20, 3.839786, 
20, 3.855608, 
20, 3.871445, 
20, 3.887278, 
20, 3.903119, 
20, 3.918958, 
20, 3.934779, 
20, 3.950648, 
20, 3.966912, 
20, 3.982678, 
20, 3.999155, 
20, 4.015003, 
20, 4.030868, 
20, 4.046742, 
20, 4.062976, 
20, 4.078757, 
20, 4.094601, 
20, 4.110499, 
20, 4.126380, 
20, 4.142283, 
20, 4.158196, 
20, 4.174047, 
20, 4.189881, 
20, 4.205587, 
20, 4.221381, 
20, 4.237261, 
20, 4.253110, 
20, 4.268953, 
20, 4.284813, 
20, 4.300607, 
20, 4.317438, 
20, 4.333371, 
20, 4.349212, 
20, 4.365287, 
20, 4.381132, 
20, 4.396965, 
20, 4.412802, 
20, 4.428647, 
20, 4.444482, 
20, 4.460323, 
20, 4.476162, 
20, 4.492002, 
20, 4.507843, 
20, 4.523703, 
20, 4.539540, 
20, 4.555359, 
20, 4.571242, 
20, 4.587071, 
20, 4.602910, 
20, 4.618750, 
20, 4.634597, 
20, 4.650645, 
20, 4.666476, 
20, 4.682315, 
20, 4.698192, 
20, 4.714027, 
20, 4.729842, 
20, 4.745566, 
20, 4.761600, 
20, 4.777454, 
20, 4.793264, 
20, 4.809072, 
20, 4.824949, 
20, 4.840798, 
20, 4.856544, 
20, 4.872383, 
20, 4.888258, 
20, 4.904115, 
20, 4.919968, 
20, 4.935823, 
20, 4.951670, 
20, 4.967938, 
20, 4.983851, 
20, 4.999634, 
