GPU_Power(W),Time(S), 
18,0.015699, 
18,0.03151, 
18,0.047322, 
18,0.063297, 
18,0.079114, 
18,0.094872, 
18,0.110713, 
18,0.126435, 
18,0.142211, 
18,0.15807, 
18,0.173899, 
18,0.189729, 
18,0.205575, 
18,0.221406, 
18,0.237454, 
18,0.254254, 
18,0.2705, 
18,0.286209, 
18,0.301926, 
18,0.317644, 
18,0.333829, 
18,0.349578, 
18,0.365262, 
18,0.380966, 
18,0.39664, 
18,0.412323, 
18,0.428007, 
18,0.44373, 
18,0.459455, 
18,0.475195, 
18,0.491172, 
18,0.506961, 
18,0.522667, 
18,0.5384, 
18,0.555895, 
18,0.571618, 
18,0.588124, 
18,0.604087, 
18,0.619835, 
18,0.63553, 
18,0.651351, 
18,0.667351, 
18,0.68308, 
18,0.698956, 
18,0.714695, 
18,0.731024, 
18,0.746799, 
18,0.762515, 
18,0.778228, 
18,0.793936, 
18,0.809684, 
18,0.825471, 
18,0.841673, 
18,0.857514, 
18,0.873376, 
18,0.889183, 
18,0.905005, 
18,0.920826, 
18,0.937373, 
18,0.953817, 
18,0.969631, 
18,0.985504, 
18,1.001358, 
18,1.017202, 
18,1.033043, 
18,1.048887, 
18,1.064911, 
18,1.080749, 
18,1.096504, 
18,1.112256, 
18,1.128069, 
18,1.143904, 
18,1.159768, 
18,1.175635, 
18,1.191501, 
18,1.207248, 
18,1.222956, 
18,1.238853, 
18,1.254611, 
18,1.270379, 
18,1.286147, 
18,1.301918, 
18,1.317753, 
18,1.333608, 
18,1.349418, 
18,1.365216, 
18,1.38101, 
18,1.396776, 
18,1.412538, 
18,1.428542, 
18,1.444328, 
18,1.460137, 
18,1.475976, 
18,1.491822, 
18,1.507651, 
18,1.523457, 
18,1.539296, 
18,1.556525, 
18,1.572368, 
18,1.58828, 
18,1.604107, 
18,1.619895, 
18,1.635713, 
18,1.651531, 
18,1.667361, 
18,1.683196, 
18,1.698979, 
18,1.714823, 
18,1.730639, 
18,1.746508, 
18,1.762352, 
18,1.778136, 
18,1.79411, 
18,1.80991, 
18,1.825777, 
18,1.841628, 
18,1.857479, 
18,1.873318, 
18,1.889164, 
18,1.905011, 
18,1.920869, 
18,1.936696, 
18,1.952444, 
18,1.968259, 
18,1.984115, 
18,2.000147, 
18,2.015975, 
18,2.031785, 
18,2.047563, 
18,2.063372, 
18,2.079172, 
18,2.095012, 
18,2.110818, 
18,2.126672, 
18,2.142539, 
18,2.158411, 
18,2.174241, 
18,2.190072, 
18,2.206065, 
18,2.221842, 
18,2.237629, 
18,2.253361, 
18,2.269077, 
18,2.284777, 
18,2.3005, 
18,2.316208, 
18,2.33191, 
18,2.347701, 
18,2.363421, 
18,2.379154, 
18,2.394865, 
18,2.410739, 
18,2.426658, 
18,2.442364, 
18,2.458082, 
18,2.473835, 
18,2.489582, 
18,2.505311, 
18,2.521021, 
18,2.537767, 
18,2.553529, 
18,2.569239, 
18,2.58496, 
18,2.600871, 
18,2.616578, 
18,2.632292, 
18,2.648042, 
18,2.663749, 
18,2.679661, 
18,2.695387, 
18,2.711168, 
18,2.726954, 
18,2.742773, 
18,2.75857, 
18,2.774369, 
18,2.790172, 
18,2.805885, 
18,2.822253, 
18,2.838182, 
18,2.853943, 
18,2.869706, 
18,2.88547, 
18,2.901223, 
18,2.917008, 
18,2.932784, 
18,2.948533, 
18,2.964283, 
18,2.980032, 
18,2.995783, 
18,3.011552, 
18,3.027296, 
18,3.043046, 
18,3.058952, 
18,3.074697, 
18,3.090429, 
18,3.106162, 
18,3.12188, 
18,3.137607, 
18,3.153344, 
18,3.169061, 
18,3.18481, 
18,3.200527, 
18,3.216237, 
18,3.232553, 
18,3.248297, 
18,3.264077, 
18,3.279851, 
18,3.295597, 
18,3.311347, 
18,3.327093, 
18,3.342834, 
18,3.358612, 
18,3.374357, 
18,3.390108, 
18,3.40586, 
18,3.42162, 
18,3.437559, 
18,3.453333, 
18,3.469077, 
18,3.48485, 
18,3.5006, 
18,3.51635, 
18,3.5321, 
18,3.549536, 
18,3.565297, 
18,3.58104, 
18,3.596788, 
18,3.612571, 
18,3.628964, 
18,3.644749, 
18,3.660501, 
18,3.676252, 
18,3.692, 
18,3.707748, 
18,3.723521, 
18,3.739252, 
18,3.75497, 
18,3.770707, 
18,3.786454, 
18,3.802228, 
18,3.817971, 
18,3.833767, 
18,3.849529, 
18,3.865301, 
18,3.881053, 
18,3.896817, 
18,3.91259, 
18,3.928344, 
18,3.944092, 
18,3.959841, 
18,3.975595, 
18,3.991366, 
18,4.007106, 
18,4.022858, 
18,4.038761, 
18,4.054503, 
18,4.070254, 
18,4.085998, 
18,4.10178, 
18,4.11756, 
18,4.133326, 
18,4.149069, 
18,4.164822, 
18,4.180567, 
18,4.196338, 
18,4.212115, 
18,4.228166, 
18,4.243918, 
18,4.259696, 
18,4.275447, 
18,4.291198, 
18,4.30695, 
18,4.322708, 
18,4.33846, 
18,4.354235, 
18,4.369991, 
18,4.385759, 
18,4.401545, 
18,4.417307, 
18,4.433067, 
18,4.448871, 
18,4.464686, 
18,4.480512, 
18,4.496321, 
18,4.512106, 
18,4.527895, 
18,4.54365, 
18,4.561327, 
18,4.577118, 
