GPU_Power(W),Time(S), 
19,0.015793, 
19,0.031657, 
19,0.04753, 
19,0.063364, 
19,0.07931, 
19,0.09514, 
19,0.110952, 
19,0.126758, 
19,0.142571, 
19,0.15835, 
19,0.174129, 
19,0.18982, 
19,0.205558, 
19,0.221334, 
19,0.237148, 
19,0.252872, 
19,0.268561, 
19,0.284276, 
19,0.299962, 
19,0.315647, 
19,0.331341, 
19,0.347029, 
19,0.362722, 
19,0.378412, 
19,0.394217, 
19,0.409987, 
19,0.42574, 
19,0.441431, 
19,0.457113, 
19,0.4728, 
19,0.488485, 
19,0.504182, 
19,0.519868, 
19,0.535555, 
19,0.551241, 
19,0.566932, 
19,0.582622, 
19,0.598317, 
19,0.614032, 
19,0.629723, 
19,0.645414, 
19,0.661134, 
19,0.677043, 
19,0.692755, 
19,0.708466, 
19,0.724147, 
19,0.739856, 
19,0.755545, 
19,0.771234, 
19,0.786924, 
19,0.802617, 
19,0.818304, 
19,0.83399, 
19,0.8497, 
19,0.865656, 
19,0.881339, 
19,0.897029, 
19,0.912721, 
19,0.928421, 
19,0.944107, 
19,0.95979, 
19,0.975503, 
19,0.991198, 
19,1.006887, 
19,1.022598, 
19,1.038595, 
19,1.054297, 
19,1.069979, 
19,1.08567, 
19,1.101368, 
19,1.117056, 
19,1.132746, 
19,1.148432, 
19,1.164098, 
19,1.179768, 
19,1.195658, 
19,1.211493, 
19,1.227163, 
19,1.24283, 
19,1.258501, 
19,1.274464, 
19,1.290148, 
19,1.305871, 
19,1.323133, 
19,1.338817, 
19,1.354501, 
19,1.370315, 
19,1.38611, 
19,1.401877, 
19,1.417683, 
19,1.433429, 
19,1.449207, 
19,1.464975, 
19,1.481083, 
19,1.496859, 
19,1.512584, 
19,1.528319, 
19,1.544199, 
19,1.559959, 
19,1.575699, 
19,1.591503, 
19,1.607274, 
19,1.623025, 
19,1.638776, 
19,1.654526, 
19,1.670277, 
19,1.686373, 
19,1.702117, 
19,1.717874, 
19,1.733624, 
19,1.749424, 
19,1.765241, 
19,1.780992, 
19,1.796735, 
19,1.812509, 
19,1.828273, 
19,1.844016, 
19,1.859897, 
19,1.876117, 
19,1.891986, 
19,1.907856, 
19,1.923715, 
19,1.939453, 
19,1.955201, 
19,1.970904, 
19,1.98664, 
19,2.00238, 
19,2.018199, 
19,2.033906, 
19,2.049666, 
19,2.065413, 
19,2.081509, 
19,2.09733, 
19,2.113092, 
19,2.128844, 
19,2.144661, 
19,2.160419, 
19,2.176202, 
19,2.191971, 
19,2.207742, 
19,2.223509, 
19,2.239312, 
19,2.255149, 
19,2.270884, 
19,2.286765, 
19,2.302559, 
19,2.318328, 
19,2.336089, 
19,2.352478, 
