GPU_Power(W),Time(S), 
19,0.015792, 
19,0.031635, 
19,0.047474, 
19,0.063279, 
19,0.079132, 
19,0.095069, 
19,0.110786, 
19,0.126531, 
19,0.142232, 
19,0.158049, 
19,0.173826, 
19,0.189541, 
19,0.205331, 
19,0.221094, 
19,0.236911, 
19,0.25287, 
19,0.268614, 
19,0.284329, 
19,0.300034, 
19,0.315739, 
19,0.331469, 
19,0.347184, 
19,0.362896, 
19,0.378605, 
19,0.394488, 
19,0.410222, 
19,0.425968, 
19,0.441763, 
19,0.457515, 
19,0.473282, 
19,0.489035, 
19,0.504811, 
19,0.520558, 
19,0.538404, 
19,0.554152, 
19,0.5699, 
19,0.585677, 
19,0.60159, 
19,0.617352, 
19,0.633106, 
19,0.648866, 
19,0.664646, 
19,0.680393, 
19,0.69614, 
19,0.711892, 
19,0.72764, 
19,0.743371, 
19,0.759078, 
19,0.774825, 
19,0.790577, 
19,0.806334, 
19,0.82211, 
19,0.837856, 
19,0.853626, 
19,0.869388, 
19,0.885139, 
19,0.900899, 
19,0.916682, 
19,0.932746, 
19,0.948511, 
19,0.96429, 
19,0.980074, 
19,0.995844, 
19,1.011602, 
19,1.027358, 
19,1.043123, 
19,1.05888, 
19,1.074667, 
19,1.090462, 
19,1.106524, 
19,1.122283, 
19,1.138075, 
19,1.153858, 
19,1.169637, 
19,1.185417, 
19,1.201173, 
19,1.21693, 
19,1.232695, 
19,1.248678, 
19,1.26444, 
19,1.280223, 
19,1.296006, 
19,1.311777, 
19,1.327536, 
19,1.34329, 
19,1.359062, 
19,1.374817, 
19,1.390631, 
19,1.406464, 
19,1.422288, 
19,1.438116, 
19,1.453937, 
19,1.469779, 
19,1.485627, 
19,1.501475, 
19,1.517331, 
19,1.533153, 
19,1.548871, 
19,1.56457, 
19,1.58027, 
19,1.596018, 
19,1.611718, 
19,1.627421, 
19,1.64313, 
19,1.658834, 
19,1.67453, 
19,1.690243, 
19,1.705969, 
19,1.721684, 
19,1.737403, 
19,1.7531, 
19,1.768832, 
19,1.784538, 
19,1.800236, 
19,1.815942, 
19,1.831649, 
19,1.847353, 
19,1.863072, 
19,1.878816, 
19,1.89453, 
19,1.910234, 
19,1.925939, 
19,1.941671, 
19,1.957369, 
19,1.973055, 
19,1.988763, 
19,2.004444, 
19,2.02013, 
19,2.035853, 
19,2.051592, 
19,2.067292, 
19,2.083005, 
19,2.098939, 
19,2.114644, 
19,2.130382, 
19,2.146091, 
19,2.161779, 
19,2.177501, 
19,2.193364, 
19,2.209124, 
19,2.224834, 
19,2.240543, 
19,2.256563, 
19,2.272297, 
19,2.288004, 
19,2.303737, 
19,2.319449, 
19,2.33516, 
19,2.350865, 
19,2.366621, 
19,2.382327, 
19,2.398238, 
19,2.413947, 
19,2.429686, 
19,2.445413, 
19,2.461146, 
19,2.477142, 
19,2.49286, 
19,2.508573, 
19,2.524286, 
19,2.540066, 
19,2.557836, 
19,2.57361, 
19,2.589427, 
19,2.605436, 
19,2.621148, 
19,2.636884, 
19,2.6526, 
19,2.668315, 
19,2.684024, 
19,2.699767, 
19,2.71548, 
19,2.731169, 
19,2.746897, 
19,2.762638, 
19,2.77835, 
19,2.794063, 
19,2.809769, 
19,2.825511, 
19,2.841242, 
19,2.856962, 
19,2.872671, 
19,2.888407, 
19,2.90412, 
19,2.919848, 
19,2.935874, 
19,2.951587, 
19,2.967299, 
19,2.98303, 
19,2.998743, 
19,3.014433, 
19,3.030131, 
19,3.045913, 
19,3.061725, 
19,3.077499, 
19,3.093269, 
19,3.109303, 
19,3.125072, 
19,3.140807, 
19,3.156611, 
19,3.172413, 
19,3.188165, 
19,3.203883, 
19,3.219667, 
19,3.235382, 
19,3.251299, 
19,3.267194, 
19,3.282909, 
19,3.298625, 
19,3.314343, 
19,3.330105, 
19,3.345814, 
19,3.361538, 
19,3.377274, 
19,3.393368, 
19,3.409083, 
19,3.424799, 
19,3.44053, 
19,3.456247, 
19,3.471968, 
19,3.487678, 
19,3.50341, 
19,3.519105, 
19,3.534817, 
19,3.550532, 
19,3.568419, 
19,3.584136, 
19,3.599877, 
19,3.615674, 
19,3.631388, 
19,3.647101, 
19,3.662821, 
19,3.678529, 
19,3.694239, 
19,3.709962, 
19,3.725709, 
19,3.741461, 
19,3.75718, 
19,3.772883, 
19,3.788592, 
19,3.804341, 
19,3.820055, 
19,3.835765, 
19,3.85148, 
19,3.867219, 
19,3.882931, 
19,3.898647, 
19,3.914355, 
19,3.930088, 
19,3.946167, 
19,3.961885, 
19,3.977606, 
19,3.993344, 
19,4.009055, 
19,4.024767, 
19,4.040483, 
19,4.056196, 
19,4.071908, 
19,4.087645, 
19,4.103575, 
19,4.119312, 
19,4.135025, 
19,4.150733, 
19,4.166456, 
19,4.182195, 
19,4.19792, 
19,4.21366, 
19,4.229395, 
19,4.24511, 
19,4.260855, 
19,4.276579, 
19,4.292295, 
19,4.308027, 
19,4.323744, 
19,4.339456, 
19,4.355166, 
19,4.370902, 
19,4.386843, 
19,4.403164, 
19,4.418905, 
19,4.434628, 
19,4.45037, 
19,4.466231, 
19,4.482072, 
19,4.497931, 
19,4.513789, 
19,4.529645, 
19,4.5473, 
19,4.563125, 
19,4.578903, 
19,4.594772, 
19,4.610962, 
19,4.62668, 
19,4.642503, 
19,4.658312, 
19,4.674216, 
19,4.690095, 
19,4.706011, 
19,4.721869, 
19,4.737956, 
19,4.753792, 
19,4.769841, 
19,4.785564, 
19,4.801614, 
19,4.817463, 
19,4.833324, 
19,4.849154, 
19,4.864983, 
19,4.880822, 
19,4.896674, 
19,4.912508, 
19,4.928349, 
19,4.944389, 
19,4.960195, 
19,4.976012, 
19,4.992366, 
19,5.00808, 
19,5.023823, 
19,5.039536, 
19,5.055377, 
